title,author,genre,description
The Hobbit,J.R.R. Tolkien,Fantasy,A hobbit named Bilbo Baggins goes on an unexpected adventure with dwarves to reclaim a treasure guarded by a dragon.
The Fellowship of the Ring,J.R.R. Tolkien,Fantasy,A young hobbit and his companions set out on a quest to destroy a powerful ring and save Middle-earth from darkness.
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,A young wizard discovers his magical heritage and attends a school of witchcraft where he battles dark forces.
Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,A boy wizard returns to his magical school and must uncover the secret of a monster hidden within its walls.
A Game of Thrones,George R.R. Martin,Fantasy,Noble families battle for control of a fractured kingdom while an ancient threat gathers beyond an icy wall.
Dune,Frank Herbert,Science Fiction,A young nobleman leads a rebellion on a desert planet that holds the key to a valuable spice resource.
Foundation,Isaac Asimov,Science Fiction,A mathematician predicts the fall of a galactic empire and establishes a foundation to preserve civilization.
Ender's Game,Orson Scott Card,Science Fiction,A gifted child is trained at a military school to command humanity's fleet against an alien invasion.
The Martian,Andy Weir,Science Fiction,An astronaut is stranded alone on Mars and must use science and ingenuity to survive until rescue.
1984,George Orwell,Dystopian,A man living under a totalitarian regime begins to question the oppressive surveillance state controlling his life.
Brave New World,Aldous Huxley,Dystopian,A futuristic society engineered for happiness hides a dark cost to individuality and freedom.
Fahrenheit 451,Ray Bradbury,Dystopian,A fireman whose job is to burn books begins to question a society that forbids reading and independent thought.
Pride and Prejudice,Jane Austen,Romance,A witty young woman navigates love and social expectations in nineteenth century England.
Sense and Sensibility,Jane Austen,Romance,Two sisters experience love and heartbreak while dealing with financial hardship in English society.
The Fault in Our Stars,John Green,Romance,Two teenagers with cancer fall in love while confronting mortality and the meaning of life.
Me Before You,Jojo Moyes,Romance,A young woman becomes a caretaker for a paralyzed man and their bond changes both their lives.
Gone Girl,Gillian Flynn,Thriller,A man becomes the prime suspect when his wife mysteriously disappears on their wedding anniversary.
The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,A journalist and a hacker investigate a decades old disappearance tied to a powerful family's dark secrets.
The Silent Patient,Alex Michaelides,Thriller,A psychotherapist becomes obsessed with treating a woman who refuses to speak after murdering her husband.
Sherlock Holmes: A Study in Scarlet,Arthur Conan Doyle,Mystery,A brilliant detective and his companion investigate a mysterious murder in London using keen deduction.
Murder on the Orient Express,Agatha Christie,Mystery,A detective must solve a murder aboard a snowbound train filled with suspicious passengers.
The Da Vinci Code,Dan Brown,Mystery,A symbologist unravels a deadly conspiracy hidden within works of art and religious history.
To Kill a Mockingbird,Harper Lee,Classic,A young girl learns about racial injustice and moral courage in a small southern town.
The Great Gatsby,F. Scott Fitzgerald,Classic,A mysterious millionaire's obsession with a lost love unravels amid the excess of the Jazz Age.
Moby Dick,Herman Melville,Classic,A sailor recounts the obsessive quest of a captain determined to kill a great white whale.
The Alchemist,Paulo Coelho,Philosophical,A young shepherd travels across the desert in search of treasure and discovers the meaning of his personal destiny.
Sapiens,Yuval Noah Harari,Non-Fiction,An exploration of how humankind evolved and shaped civilization through cognitive and social revolutions.
Educated,Tara Westover,Non-Fiction,A woman raised in a strict survivalist family pursues education and transforms her life against great odds.
Atomic Habits,James Clear,Self-Help,A practical guide to building good habits and breaking bad ones through small consistent changes.
The Power of Habit,Charles Duhigg,Self-Help,An exploration of the science behind habit formation and how it shapes individuals and organizations.
